LATITUDE,LONGITUDE
40.7605360,-73.9583600
40.7589760,-73.9939400
40.7458460,-73.9763800
40.6604100,-73.9342400
40.7794880,-73.9201350
40.7097500,-73.7956200
40.5469700,-74.1530500
,
40.6771550,-73.8877300
40.7002700,-73.8119350
40.6710620,-73.7311250
40.7428930,-73.7791900
40.7081150,-74.0087700
40.8833300,-73.8367840
40.6521800,-74.0099600
40.8211670,-73.9077500
40.7302860,-73.8508000
,
40.8070870,-73.9417800
40.6924630,-73.8108200
40.7282300,-73.8331300
40.8380130,-73.9406900
40.6912500,-73.8508700
40.7230220,-73.9988200
,
,
40.6784860,-74.0061950
40.8563800,-73.8263100
40.7343000,-73.7552000
40.7567980,-73.8159100
40.6829380,-73.8671700
40.6217800,-73.9479000
40.6674540,-73.8947500
40.6931700,-73.7448300
40.6446500,-73.8782200
40.6843800,-73.9470200
40.7434730,-73.9767700
40.7502480,-73.9829300
40.8648070,-73.9193700
40.7098300,-74.0146800
40.7753900,-73.8009950
40.8407700,-73.9362500
40.6889950,-73.7858100
40.6445350,-73.9703300
40.6901630,-73.9871100
40.7557800,-74.0019900
40.5778800,-73.9947600
40.7460800,-73.9749450
40.7209320,-73.7437800
40.7583730,-73.7488860
40.6789630,-73.9496500
40.8746000,-73.9097000
40.7496700,-73.9953100
40.6885700,-73.8757000
40.6169360,-74.0237200
40.7735800,-73.9138100
40.6812200,-73.9804700
40.5830570,-73.9731140
40.7132030,-73.9838900
40.7188870,-73.8416000
40.7607700,-73.8720900
40.7634800,-73.9672800
40.6678470,-73.9940400
40.6662560,-73.9002150
40.6611480,-73.9454960
40.7742800,-73.9773800
40.7608220,-73.9983200
40.5836520,-73.9435600
40.6162950,-73.9299100
40.7593080,-73.9653000
40.8184050,-73.9167300
40.8653100,-73.9033300
,
40.6020160,-73.9637700
40.6916430,-73.8417200
40.7403370,-73.9363500
40.6592300,-73.8932900
40.7600100,-73.8786000
40.6833760,-73.7604300
,
40.5866700,-73.9661560
40.6957700,-73.7474600
40.6661800,-73.7405900
40.7440260,-73.9261600
40.6116870,-74.0786400
40.6791100,-73.8806150
,
40.6537100,-73.8924600
40.7355460,-73.9925460
40.7377850,-73.9349600
40.7690280,-73.9224200
40.7925000,-73.9447700
40.6044200,-73.8198400
40.6860850,-73.9826660
40.7416080,-73.8829500
,
40.6153830,-73.9289100
40.6957660,-73.7849700
40.7184400,-73.9987600
40.6521700,-73.9614100
40.7866740,-73.9503300
40.8107640,-73.9526000
40.7381940,-73.8492000
40.7408520,-73.9163200
40.6682930,-73.9792400
40.6517330,-73.9303900
40.6547700,-74.0070800
40.8102100,-73.9020800
40.6961600,-73.7842600
40.6355200,-74.0167000
40.7197600,-73.9447600
40.6022950,-73.7521740
40.6856350,-73.9295960
40.7197500,-73.9921650
40.7715760,-73.8761600
40.6376570,-73.8968700
40.8362500,-73.8202200
40.6245300,-74.1406860
40.8036300,-73.9534800
40.6871000,-73.9298900
,
40.8178440,-73.9418500
40.7820550,-73.9537300
,
,
40.8775440,-73.8616600
40.6380230,-73.8943900
40.6809730,-73.8676800
40.7299580,-73.9191300
40.7566700,-73.8288040
40.6772040,-73.8257900
40.7011030,-73.9223900
40.6078000,-73.8193200
40.7462960,-73.9304100
40.8338430,-73.9485100
40.7589800,-73.9959500
40.6796530,-73.7772400
40.8634150,-73.9231400
40.5709400,-74.1221800
40.7342800,-73.9803700
,
40.8348900,-73.8663000
40.6689900,-73.9964100
40.6630300,-73.9916840
40.7089200,-73.9970600
40.7539980,-73.9424400
,
40.6817780,-73.7815600
40.7668340,-73.8966600
40.6741400,-73.9655800
40.7041130,-73.9158700
40.7369230,-74.0032000
40.8156850,-73.9583000
40.7561000,-73.8625100
40.7552300,-73.9351900
40.7245830,-73.9875100
40.8474580,-73.9442440
40.6662180,-73.9788500
40.7108270,-73.7706600
40.7429850,-73.9970200
40.7493360,-73.8501500
40.5716970,-73.8644600
40.7637440,-73.8289300
40.7222330,-73.9013500
40.8392300,-73.9455500
40.7212000,-74.0003500
40.7701200,-73.9574100
,
40.6978200,-73.9278260
40.6667560,-73.8365300
40.6878900,-73.9072400
40.7461930,-73.8686800
40.6960330,-73.9845300
40.6788000,-73.9788400
40.7365460,-73.9890500
40.8270570,-73.9520200
40.6559400,-73.9551500
40.7436370,-73.7183800
,
40.7160840,-74.0014340
40.6885150,-73.9929400
40.8618620,-73.9128200
40.7936000,-73.9474100
,
40.9016700,-73.9061200
40.6427960,-74.0019700
40.7015270,-73.9895700
40.7402230,-73.9426350
40.7730330,-73.9822100
40.7278700,-73.9291300
40.6265680,-73.9709240
40.7638930,-73.9150000
40.6936900,-73.9312100
40.7621840,-73.9495850
40.8980060,-73.8611150
40.7520260,-73.9298900
40.6547050,-74.0073100
40.8640020,-73.8340450
40.7388300,-73.9831540
40.6692200,-73.9387000
40.6451030,-74.0103300
40.7015900,-73.9487500
40.8429900,-73.8262500
40.8441160,-73.8985700
40.6338000,-73.8897000
40.6882100,-73.9658300
40.7176800,-73.9482400
40.6665000,-73.9962000
40.7590600,-73.9726200
40.6262100,-73.9276660
40.6702960,-73.9976040
40.8513150,-73.9172800
40.7427600,-73.7024300
40.6800500,-73.9546600
40.6545000,-73.8822200
40.6046100,-73.9982600
40.8263400,-73.8824700
40.6839900,-73.8900400
40.6883900,-73.8538600
40.7345660,-73.7226900
40.7705540,-73.8355100
,
40.7460750,-73.8640800
40.6806870,-73.8445900
40.8597450,-73.8958000
40.7292980,-73.9919000
,
40.6127360,-74.0117200
40.7561380,-73.9831800
